Universidade	ODS	Indicador	Ano	Valor	Overall	Percentil_ranking_metrica
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE) Median	2019	1	3	
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE) Median	2020	1	3	
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE) Median	2021	1	3	
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE) Median	2022	1	3	
Universidade Federal Fluminense	ODS 4	Output in Top 10% Journals (THE) Median	2023	1	3	
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE)	2019	23	199	91st
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE)	2020	54	199	91st
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE)	2021	40	199	91st
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE)	2022	38	199	91st
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE)	2023	44	199	91st
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE) Median	2019	6	27	
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE) Median	2020	7	27	
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE) Median	2021	8	27	
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE) Median	2022	8	27	
Universidade Federal Fluminense	ODS 4	Scholarly Output (THE) Median	2023	9	27	
Universidade Federal Fluminense	ODS 4	Views Count (THE)	2019	1510	9755	89th
Universidade Federal Fluminense	ODS 4	Views Count (THE)	2020	3106	9755	89th
Universidade Federal Fluminense	ODS 4	Views Count (THE)	2021	1948	9755	89th
Universidade Federal Fluminense	ODS 4	Views Count (THE)	2022	1222	9755	89th
Universidade Federal Fluminense	ODS 4	Views Count (THE)	2023	1969	9755	89th
Universidade Federal Fluminense	ODS 4	Views Count (THE) Median	2019	245	1001	
Universidade Federal Fluminense	ODS 4	Views Count (THE) Median	2020	273	1001	
Universidade Federal Fluminense	ODS 4	Views Count (THE) Median	2021	310	1001	
Universidade Federal Fluminense	ODS 4	Views Count (THE) Median	2022	278	1001	
Universidade Federal Fluminense	ODS 4	Views Count (THE) Median	2023	247	1001	
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE)	2019	0.405	0.432	78th
Universidade Federal Fluminense	ODS 5	Female Co-authorship (THE)	2020	0.438	0.432	78th
